student_id,session_id,session_date,age,level,vocabulary_score,grammar_score,fluency_score,response_time,correct_answers,incorrect_answers,feedback_received,adaptive_content,overall_performance,engagement_score,learning_efficiency,learning_outcome
1,1,2025-01-01,24,Intermediate,69.66393241550894,84.11292780474238,45.18392903671383,11.339840506834374,24,2,Needs Improvement,0,66.32026308565504,62.62726720248524,0.7443238973313883,0
2,2,2025-01-02,21,Advanced,72.5147092936727,73.5471502371254,42.432883183085664,19.934567503922125,15,7,Excellent,0,62.83158090462791,84.17026137128113,0.8284370103455123,0
3,3,2025-01-03,28,Intermediate,63.96394642881437,52.908662709558456,69.05075466875547,5.157404617099167,28,3,Excellent,0,61.97445460237609,80.07550956597429,0.7587123254916364,0
4,4,2025-01-04,25,Intermediate,70.78710109711214,73.73039264581081,61.30354888130485,18.425979332768687,10,5,Needs Improvement,1,68.60701420807594,81.97324377391348,0.7083549332748267,0
5,5,2025-01-05,22,Intermediate,56.45087189073311,54.836382055204496,67.401617833212,7.237112389096062,10,9,Excellent,1,59.56295725971654,72.9663956275507,0.9415044640354211,0
6,6,2025-01-06,24,Advanced,63.50912963483326,75.92146149093676,66.05365952541939,16.7888791431337,22,5,Needs Improvement,0,68.49475021706314,80.39177388005274,0.7058567712093982,0
7,7,2025-01-07,27,Advanced,77.21395327974778,87.70165637925203,57.51014955453651,14.26897339769447,12,2,Excellent,0,74.14191973784544,78.27086834120747,0.9492068815594042,0
8,8,2025-01-08,20,Beginner,83.59163894865605,76.06967255531441,73.87367074117364,10.12770928247138,19,4,Needs Improvement,1,77.8449940817147,83.06940585685888,0.7432311889098898,1
9,9,2025-01-09,24,Advanced,61.682766697819446,83.14402514562062,77.92509404581953,18.108124332815276,12,2,Excellent,0,74.2506286297532,73.40309503404757,0.9924035232421349,0
10,10,2025-01-10,28,Advanced,42.18308288536806,40.10519215879417,40.73141294388378,5.19360841971488,18,0,Needs Improvement,0,41.006562662682,74.18476874688908,0.881162173547857,0
11,11,2025-01-11,28,Advanced,48.08362720734013,75.87860623657971,50.36211498844391,8.400359781123855,17,6,Needs Improvement,0,58.108116144121254,79.3072866821946,0.9204948914889686,0
12,12,2025-01-12,25,Advanced,41.043056964576905,81.47937784326251,75.66179340416684,13.50339194374304,12,3,Needs Improvement,0,66.06140940400208,63.24232480999165,0.7331450883904195,0
13,13,2025-01-13,22,Beginner,72.6631509618665,42.02793687723407,59.33100863169171,10.27313390074547,22,6,Excellent,1,58.0073654902641,73.08733345092952,0.958631222035444,0
14,14,2025-01-14,21,Advanced,56.61573126775545,83.57988636441152,73.12419734708041,14.155662429774914,15,2,Needs Improvement,1,71.10660499308246,89.15852535779416,0.9517577028614614,0
15,15,2025-01-15,25,Intermediate,67.12393178596838,52.83471141550229,57.34813298672792,5.361652901130002,22,4,Excellent,0,59.10225872939952,61.12656960180137,0.8958978194625153,0
